game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_id,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
2,5,0,4,1,0,0,3,1,3,4,0,3,4,1,2,3,0,3,1,0,2,1,1,3,0,1,4,6,0,10,3.1951219512195124,2.573170731707317,12,2.292682926829268,2.7560975609756095
3,4,1,1,4,0,3,2,1,2,4,1,2,3,0,5,4,1,3,0,0,6,2,0,3,2,1,5,3,0,24,2.697674418604651,2.7790697674418605,21,3.090909090909091,2.9431818181818183
5,2,0,3,4,0,0,1,0,2,3,0,3,0,0,4,3,0,4,2,1,6,2,0,4,1,0,0,0,1,23,2.3738317757009346,2.9906542056074765,9,2.341463414634146,3.048780487804878
2,3,1,6,2,0,2,3,0,7,1,0,2,1,0,2,3,1,3,2,1,1,2,0,5,1,1,4,1,1,8,2.525252525252525,2.686868686868687,9,2.8780487804878048,3.231707317073171
0,3,0,7,1,1,3,4,0,2,5,0,2,5,0,2,3,0,3,8,0,3,4,1,2,3,0,0,0,1,1,2.5365853658536586,2.402439024390244,19,2.977272727272727,2.397727272727273
4,3,0,1,4,1,2,5,0,5,0,1,4,2,0,2,1,1,3,5,0,3,1,0,4,3,1,1,6,0,25,2.707317073170732,2.573170731707317,16,2.9545454545454546,2.897727272727273
2,5,0,2,4,0,2,3,0,2,1,1,4,3,0,0,1,0,3,0,1,0,3,1,1,4,1,1,6,0,13,2.8902439024390243,2.5609756097560976,3,3.0851063829787235,2.6595744680851063
5,2,1,2,3,1,4,0,0,3,2,0,4,3,1,4,3,1,3,0,0,3,7,0,3,4,1,0,4,0,2,2.951219512195122,2.9390243902439024,29,3.0114942528735633,2.4827586206896552
3,2,0,2,5,0,5,0,0,2,5,1,1,3,0,5,1,0,5,4,1,5,1,1,3,2,0,0,2,1,21,3.1666666666666665,2.4166666666666665,29,2.5,2.4791666666666665
3,2,0,2,3,0,3,4,1,2,0,1,0,3,0,1,2,1,2,3,0,3,5,0,1,6,0,4,1,0,22,3.2804878048780486,2.3536585365853657,23,2.9906542056074765,2.3738317757009346
2,1,0,2,5,1,2,3,0,3,1,0,1,5,0,4,2,0,6,3,0,3,2,0,3,4,1,0,0,1,21,2.7191011235955056,3.033707865168539,10,2.817073170731707,3.1219512195121952
4,3,0,4,0,1,1,3,1,2,3,0,1,7,1,6,2,0,3,7,0,2,0,1,6,2,0,3,1,0,14,2.4343434343434343,2.7777777777777777,10,2.4146341463414633,3.0
3,6,0,1,4,1,3,2,0,5,2,1,2,1,0,4,1,1,7,5,0,4,2,0,0,0,1,0,0,1,29,2.4827586206896552,3.0114942528735633,53,2.402439024390244,3.1707317073170733
6,3,0,2,3,1,0,4,0,5,2,0,5,3,0,4,6,0,3,4,0,2,1,1,0,0,1,0,0,1,29,2.6931818181818183,2.8295454545454546,52,2.768292682926829,2.8902439024390243
2,1,0,4,1,1,3,5,0,2,1,1,4,3,1,4,0,0,2,5,0,4,0,1,1,0,0,4,1,0,25,2.7439024390243905,2.8658536585365852,30,3.0114942528735633,2.8505747126436782
5,3,1,3,2,0,5,4,0,4,5,0,2,5,0,3,4,0,1,5,0,5,2,0,3,2,1,0,0,1,12,2.8048780487804876,2.524390243902439,28,3.044943820224719,2.539325842696629
4,1,0,2,3,1,1,0,0,3,0,1,2,3,0,3,5,0,3,1,0,2,5,0,2,1,1,3,2,0,5,2.5402298850574714,2.632183908045977,26,2.682926829268293,2.5
0,3,0,1,0,0,3,0,0,4,0,0,2,3,1,1,5,0,3,2,0,6,2,1,2,1,0,1,2,0,24,2.9204545454545454,2.9431818181818183,30,2.5121951219512195,2.841463414634146
5,4,0,4,1,0,2,1,0,2,3,1,7,1,1,2,1,1,3,4,0,2,3,0,4,0,0,4,3,1,12,3.3333333333333335,2.6666666666666665,9,2.5344827586206895,2.3275862068965516
2,1,0,2,3,0,2,3,0,1,2,0,1,2,0,0,1,0,3,6,0,3,4,0,1,2,0,9,2,1,4,2.8536585365853657,2.6219512195121952,29,2.8780487804878048,3.048780487804878
3,4,1,2,4,0,4,3,0,4,2,1,6,2,0,3,2,0,3,1,0,0,3,1,5,4,1,5,4,0,2,2.6666666666666665,2.774193548387097,52,2.6219512195121952,2.9146341463414633
