game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,home_win,away_win
3,2,0,5,2,1,1,0,0,2,3,1,3,4,0,0.9123271531689879,0.9020115695609529,27,25,2.6,1.8,2.4,2.6,7,5
4,3,0,4,6,1,0,6,1,1,4,0,1,5,1,0.9182415654588608,0.9056603091302774,2,9,3.0,3.0,2.7,3.2,5,4
0,1,0,5,2,1,2,3,1,2,6,0,3,4,0,0.914213212540548,0.9166239238073576,28,24,3.0,2.6,2.2,2.8,6,5
3,2,0,2,6,0,5,3,0,1,2,1,2,1,1,0.9051794450150374,0.9219915531894296,30,24,1.6,3.2,2.8,3.0,3,4
1,5,1,4,3,1,3,0,0,3,2,1,3,2,0,0.9198095387816874,0.9006264157440392,23,16,2.3,2.3,2.8,2.4,4,7
1,6,0,5,3,0,0,6,0,4,5,0,1,2,1,0.8986185164792659,0.926569957772793,25,14,3.0,3.6,2.8,2.5,3,4
1,0,0,2,3,0,2,3,0,2,1,1,2,3,0,0.9239382063473544,0.909065721216037,3,17,3.1,2.9,3.0,3.4,5,6
1,2,0,1,8,0,4,1,1,4,1,1,2,5,1,0.9335077991703632,0.8954893556802119,19,29,2.6,2.0,2.8,2.4,6,6
0,2,0,4,3,1,1,3,1,1,4,1,4,3,0,0.9130611167499264,0.9225435622706852,3,5,2.5,3.1,3.1,3.3,3,5
5,3,0,1,2,1,4,1,0,0,6,1,4,1,1,0.9163150726664296,0.9244995714315872,15,3,3.0,2.1,3.7,2.2,6,7
6,3,0,0,4,0,3,2,1,2,3,1,1,3,0,0.9147857380463368,0.902129910527052,13,16,2.7,3.3,3.2,2.4,3,7
0,3,1,1,4,1,3,1,1,3,4,1,7,2,0,0.8846947679385518,0.8969040671570856,20,26,3.3,2.5,2.9,1.8,6,7
1,6,0,5,3,0,0,6,0,4,5,0,1,2,1,0.8938992626045613,0.9034111514984166,25,14,3.0,3.6,2.6,1.8,3,6
3,0,1,5,6,0,1,0,0,4,3,1,5,4,0,0.9023289784612638,0.9094217473069596,14,15,3.0,2.6,3.2,2.5,7,6
1,3,0,3,2,0,5,0,1,4,1,0,5,4,0,0.9156263920325164,0.9123509974693332,17,7,2.4,2.4,2.3,2.7,5,6
4,3,0,0,1,1,4,0,1,3,4,0,5,3,0,0.9037397079787902,0.9120480501116276,20,28,2.7,3.7,3.3,2.7,2,6
5,2,0,5,4,1,2,4,1,3,4,0,3,0,0,0.9251101004180328,0.9219915531894296,23,24,3.2,2.8,2.9,3.2,6,4
1,4,1,4,2,0,3,6,0,4,2,0,5,0,0,0.9045955616650794,0.91178729238048,19,28,3.1,2.3,4.0,2.2,7,9
2,4,1,3,2,0,3,4,0,4,3,0,4,3,1,0.9120340362364548,0.92168073990251,14,3,3.1,1.9,1.9,2.0,7,6
3,1,0,1,2,0,8,2,0,1,0,1,5,4,0,0.9388031334635164,0.8883995882351693,28,4,2.0,1.8,3.1,3.4,7,4
2,5,1,3,4,1,4,3,0,5,4,0,1,2,0,0.914600065008496,0.90636054593866,52,13,3.1,4.1,2.4,3.6,3,3
3,6,0,1,4,0,2,0,0,4,2,0,2,1,1,0.9061891429567264,0.9044756014823342,28,6,2.9,2.2,2.8,1.9,6,7
4,3,1,1,4,0,3,5,0,1,4,1,3,6,0,0.9242869804328264,0.9099979107322916,27,28,2.0,2.1,2.9,2.3,5,6
2,8,0,4,2,0,3,2,0,4,2,1,6,1,0,0.9057668776412304,0.9052041370199699,17,6,2.2,2.4,3.3,1.9,4,8
2,3,0,5,1,0,3,4,1,4,3,0,5,1,1,0.9277973293509124,0.9082051418803344,23,20,4.1,2.2,2.8,3.0,7,5
2,3,1,3,2,1,3,1,0,2,1,0,1,6,0,0.9046132670179836,0.9136462324605531,13,8,2.8,2.3,2.7,2.9,5,4
4,1,1,6,1,0,4,1,0,3,0,1,5,1,0,0.926479610429748,0.9111420772906028,6,1,3.3,2.1,2.4,2.5,6,5
4,1,1,1,2,0,1,5,0,4,3,1,1,5,0,0.9047999763088622,0.8998445912127053,14,2,3.7,3.0,3.4,2.4,7,6
2,3,1,1,0,1,1,3,1,3,2,0,3,2,0,0.9148781842967992,0.9081482524185458,53,22,3.3,2.1,2.9,2.8,8,6
0,1,0,5,2,1,2,3,1,2,6,0,3,4,0,0.9061891429567264,0.8995021019921019,28,24,2.6,3.4,2.0,2.5,4,4
4,3,0,4,3,0,4,3,0,4,1,0,0,3,0,0.901833103686568,0.9111430513995054,17,12,2.3,3.0,2.7,2.6,2,6
2,4,1,3,1,0,1,0,1,4,3,0,1,4,1,0.9267407162596396,0.8971128213174921,30,21,2.6,3.0,2.3,2.7,4,4
1,3,1,3,2,0,2,1,0,2,3,1,4,3,0,0.910303926790141,0.9220788317741284,8,7,2.9,3.2,3.0,2.8,6,5
5,0,0,4,2,1,3,2,0,3,2,1,5,1,0,0.9241089175725934,0.9022412518068254,24,22,2.7,2.4,2.3,2.5,5,4
5,4,1,2,5,0,4,6,0,0,9,0,1,3,1,0.9076557348817668,0.9052041370199699,20,6,3.1,3.8,3.3,2.5,5,7
4,1,1,2,3,0,4,5,0,5,3,1,1,3,0,0.9203644862568128,0.9186879150508775,12,5,2.3,1.9,2.7,2.0,5,5
3,4,0,2,3,0,7,3,1,4,3,0,0,2,0,0.9026949599537822,0.9151965209835731,29,2,3.0,1.9,2.9,2.4,7,6
0,3,1,3,2,0,2,3,0,2,1,0,4,0,0,0.936409593169266,0.9111430513995054,6,12,3.4,3.2,2.2,2.3,6,4
2,0,0,3,1,0,4,3,0,3,2,1,3,2,0,0.9110439286844714,0.8921630071344029,19,1,2.7,2.4,2.6,2.2,6,5
0,1,0,5,2,1,2,3,1,2,6,0,3,4,0,0.9061891429567264,0.8995021019921019,28,24,3.2,2.7,3.2,3.2,6,5
4,6,1,4,2,0,1,2,1,2,4,0,2,1,0,0.915733805286245,0.904829252310694,4,5,2.6,2.6,1.9,3.1,3,3
2,5,0,6,1,1,3,2,1,2,3,0,2,4,0,0.9061891429567264,0.9035937286450384,28,26,2.4,2.2,3.1,2.6,5,6
2,4,0,3,2,1,3,2,1,4,1,0,1,3,0,0.9164476805052272,0.9114282975573708,1,12,2.1,2.2,2.7,3.3,5,4
5,3,0,2,1,1,1,2,1,2,5,1,2,1,0,0.9062581768588012,0.9151965209835731,10,2,2.9,3.0,3.4,2.8,4,6
1,2,0,3,6,0,5,1,0,3,1,1,1,5,1,0.9188338152515514,0.9225435622706852,9,5,2.6,2.7,2.7,2.2,6,6
2,1,1,1,3,0,3,4,1,3,0,0,3,2,0,0.9120808227094348,0.8952684259619136,8,5,2.8,3.4,3.4,3.7,3,5
3,5,0,6,3,0,3,0,1,3,4,0,1,3,0,0.9011355979352288,0.8996184569494883,5,2,4.1,3.1,3.4,3.4,6,5
5,2,0,6,2,0,5,4,0,4,5,1,3,2,0,0.9256507606322308,0.8998445912127053,25,2,2.6,2.9,2.5,2.7,5,5
1,5,0,3,5,1,0,4,0,7,8,1,2,3,1,0.915733805286245,0.9123193649843714,4,14,2.4,3.0,3.0,2.4,4,7
2,4,0,2,3,0,2,3,1,4,3,0,5,1,0,0.9220901684856184,0.9233955244739276,29,14,3.2,2.8,3.3,1.9,5,7
1,3,1,1,2,0,0,3,0,6,4,1,4,1,0,0.9133188382412974,0.9005745267354724,12,10,1.9,3.8,2.4,3.6,2,4
3,1,0,4,1,0,0,2,0,1,3,1,4,3,0,0.9115192860494312,0.9122543690569048,3,5,3.1,1.8,3.5,2.7,8,6
4,1,0,1,5,0,5,2,1,1,3,0,3,4,1,0.9044368979096656,0.9105578303205564,25,5,2.8,2.9,3.8,3.1,3,7
3,4,0,4,1,0,2,1,0,1,4,1,2,3,0,0.9110439286844714,0.9118731006754244,19,15,1.9,2.5,2.5,3.1,5,4
3,2,1,4,5,1,1,2,0,1,4,1,5,2,1,0.9211005779778858,0.9046893457681244,30,18,2.5,3.9,4.1,3.3,2,7
3,2,0,2,1,0,1,2,1,0,2,0,0,3,1,0.9083057879185724,0.9196060864357388,18,19,2.5,2.9,2.0,2.8,3,4
2,3,0,1,4,0,4,3,1,1,0,0,3,4,1,0.9326341594244648,0.8977719995964006,15,52,2.4,2.6,3.8,2.4,5,7
5,4,0,0,4,0,4,1,0,5,3,0,0,2,1,0.8965651639610304,0.9041885754539596,52,28,3.2,2.7,2.5,2.4,5,6
2,6,1,3,1,1,1,2,1,4,1,1,2,4,0,0.904137412602745,0.9126243190450684,29,20,2.0,3.2,3.0,3.2,3,4
2,1,0,8,0,1,2,3,0,6,4,0,4,2,0,0.907454838446186,0.9111736488977265,6,10,3.0,2.8,3.4,2.8,5,6
0,5,0,0,1,0,2,1,1,1,0,1,2,3,1,0.9335077991703632,0.9220226323161528,19,26,2.4,1.7,2.0,2.1,7,5
6,4,0,3,2,0,2,3,0,2,5,0,1,3,1,0.933937816372044,0.8966973361383372,9,19,2.8,3.4,3.7,2.4,4,7
2,3,1,4,1,1,3,4,0,2,4,0,1,2,0,0.906104742590348,0.9104782517150444,22,30,3.5,2.4,3.9,2.5,7,8
5,2,0,5,3,0,4,6,0,3,4,0,2,1,1,0.9316663441555956,0.9039511902936894,29,52,2.9,2.1,2.6,2.8,6,4
3,6,0,5,2,0,4,1,1,5,4,0,1,4,0,0.9119802173331952,0.9138444732025196,5,17,3.4,2.5,4.0,2.1,6,8
1,3,1,4,2,0,2,3,0,6,5,1,6,7,0,0.9157629041660358,0.9030326550024717,12,20,3.0,2.9,3.0,2.2,5,7
3,4,0,4,0,1,4,2,0,0,3,0,3,4,0,0.9100223378027068,0.8937428131056742,28,21,2.1,2.5,2.6,2.9,3,5
1,4,0,7,4,1,2,3,0,4,3,0,2,3,1,0.9076557348817668,0.884890244514436,20,25,2.5,3.0,3.0,3.1,5,5
3,2,1,4,3,0,5,6,1,1,0,1,2,3,0,0.921073903621872,0.8952684259619136,10,5,4.4,3.4,2.8,3.7,8,3
6,0,1,1,0,1,3,2,0,4,2,1,3,4,0,0.911532509030808,0.8937037405747742,23,21,2.1,3.2,3.4,1.9,3,8
5,3,1,3,1,0,1,2,0,4,3,0,4,2,1,0.9079858103071781,0.9009654022652572,52,12,3.1,2.3,2.3,3.1,6,4
2,1,1,2,4,1,4,5,0,0,5,0,4,0,1,0.9286117011721494,0.8987525799241199,24,17,2.9,2.3,2.2,3.5,5,2
3,2,0,0,1,0,3,1,0,2,3,1,3,2,0,0.8966483850887101,0.9012681171365164,22,53,2.5,4.2,2.3,3.2,1,3
5,2,0,5,2,1,4,5,0,3,4,0,2,3,1,0.9100223378027068,0.9020115695609529,28,25,2.4,2.6,2.4,2.6,5,5
