game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_players,away_team_players
2,1,1,5,4,1,3,5,1,6,3,1,7,4,1,2,1,0,5,4,0,3,5,0,6,3,0,7,4,0,"[0.89655172 0.8        0.3        0.5        1.9        1.3
 3.4        1.5        0.5        1.6        2.4        0.
 1.4        0.6        1.6        0.3       ]","[0.95 1.6  0.   0.6  0.5  0.8  0.   1.8  0.8  1.1  0.9  1.   1.3  0.6
 0.8  1.3 ]"
3,2,1,4,2,1,4,0,1,2,4,1,1,3,1,3,2,0,4,2,0,4,0,0,2,4,0,1,3,0,"[0.92105263 0.6        0.3        0.6        0.6        0.
 1.6        0.         0.9        0.6        0.9        0.
 1.7        0.3        0.6        0.8       ]","[0.81818182 0.         0.3        0.6        0.         0.
 1.         0.6        0.6        1.1        1.         0.3
 1.2        0.         1.3        1.9       ]"
6,5,1,4,0,1,4,3,1,2,3,1,4,3,1,6,5,0,4,0,0,4,3,0,2,3,0,4,3,0,"[0.89655172 0.3        0.8        0.6        2.         1.7
 2.5        0.3        1.3        1.1        0.         0.3
 0.6        1.1        1.6        1.8       ]","[0.96551724 0.         1.6        0.9        0.3        0.
 0.3        0.3        0.9        0.3        0.3        1.1
 1.1        2.2        0.3        0.        ]"
1,2,1,3,2,1,3,2,1,2,4,1,5,1,1,1,2,0,3,2,0,3,2,0,2,4,0,5,1,0,"[0.91666667 0.3        0.9        0.5        0.         0.
 0.8        0.6        1.7        0.3        2.4        1.3
 3.4        0.3        0.8        0.8       ]","[0.97222222 0.         0.3        0.3        0.         0.
 0.         0.         0.3        0.6        0.9        0.3
 0.         1.         0.         0.3       ]"
1,2,1,0,4,1,4,2,1,4,5,1,4,1,1,1,2,0,0,4,0,4,2,0,4,5,0,4,1,0,"[0.92307692 0.         0.         0.8        0.3        1.1
 1.9        0.5        1.4        1.         0.9        0.
 0.         0.6        0.         0.8       ]","[0.90909091 0.         0.         0.9        0.5        1.5
 1.3        0.         0.9        0.3        0.6        0.6
 0.5        0.6        1.9        2.1       ]"
2,5,1,4,3,1,3,0,1,5,2,1,4,1,1,2,5,0,4,3,0,3,0,0,5,2,0,4,1,0,"[0.89473684 0.5        0.6        0.         2.2        0.8
 0.6        2.5        1.6        0.3        0.3        2.2
 0.3        0.3        0.6        1.8       ]",[0.9 0.  0.  0.  0.8 0.3 0.8 1.5 0.9 1.  2.2 0.3 0.  0.3 2.2 0.6]
2,1,1,3,2,1,2,3,1,3,2,1,3,6,1,2,1,0,3,2,0,2,3,0,3,2,0,3,6,0,"[0.95 0.3  0.6  0.3  0.   0.6  1.6  1.4  2.7  1.6  0.3  0.   1.4  0.9
 1.2  0.  ]","[0.81818182 0.         0.         1.         0.3        0.
 0.6        0.         0.         0.         0.6        2.
 0.9        0.6        1.5        1.7       ]"
1,3,1,4,2,1,4,1,1,3,1,1,3,2,1,1,3,0,4,2,0,4,1,0,3,1,0,3,2,0,"[0.94444444 0.3        0.6        0.9        0.         1.4
 0.3        0.         2.7        0.3        0.6        1.
 1.2        1.3        1.8        0.        ]","[0.96875 0.3     0.      0.3     0.      0.3     0.      1.1     0.
 0.8     1.4     0.3     1.3     0.6     1.1     0.6    ]"
3,1,1,5,2,1,3,0,1,6,3,1,4,3,1,3,1,0,5,2,0,3,0,0,6,3,0,4,3,0,[1.  0.  0.6 0.6 0.  0.  0.  0.  1.3 0.8 0.3 0.6 2.  2.2 0.9 1.7],"[0.84210526 0.         0.         0.6        0.3        0.3
 0.         0.3        0.6        0.6        0.3        1.2
 0.         0.6        0.3        0.6       ]"
3,2,1,1,2,1,5,3,1,1,4,1,3,2,1,3,2,0,1,2,0,5,3,0,1,4,0,3,2,0,"[0.96153846 0.         0.         0.3        0.3        0.9
 0.6        0.3        1.2        2.3        1.         0.9
 0.         0.5        2.6        0.        ]","[0.90909091 0.         0.3        0.6        0.         2.1
 0.3        1.7        0.6        1.2        0.         1.3
 0.3        2.         1.         1.9       ]"
3,2,1,3,2,1,3,2,1,5,1,1,4,3,1,3,2,0,3,2,0,3,2,0,5,1,0,4,3,0,"[0.875 0.5   0.    0.3   0.3   0.    0.    0.8   0.    2.    1.5   1.1
 0.    2.9   0.6   2.1  ]","[0.8974359 0.3       0.6       0.9       0.6       0.3       0.
 0.        0.3       0.        0.3       0.6       0.3       1.
 0.3       0.3      ]"
2,5,1,3,2,1,1,3,1,1,3,1,1,2,1,2,5,0,3,2,0,1,3,0,1,3,0,1,2,0,"[0.97222222 0.         0.         0.         0.         0.6
 0.3        0.3        0.9        0.6        0.         0.6
 0.9        0.         1.         0.8       ]",[1.  0.  0.8 1.  0.3 0.9 0.  0.3 0.3 0.  0.3 0.3 0.  0.6 0.3 1.1]
5,7,1,1,0,1,3,2,1,3,4,1,5,7,1,5,7,0,1,0,0,3,2,0,3,4,0,5,7,0,"[0.94594595 0.         0.3        0.3        0.5        0.
 0.         0.3        1.2        0.3        1.3        1.3
 2.1        0.9        1.6        0.9       ]","[0.85 0.   0.6  0.3  0.3  0.   0.3  0.   0.   0.9  0.3  0.8  1.1  0.6
 0.6  0.3 ]"
2,1,1,1,3,1,2,3,1,4,2,1,6,1,1,2,1,0,1,3,0,2,3,0,4,2,0,6,1,0,"[0.92 0.   0.   0.3  0.6  2.8  0.3  1.3  3.4  2.6  1.6  0.3  1.2  1.9
 0.3  1.5 ]","[0.92857143 0.         0.3        0.3        1.         0.3
 0.         0.         0.3        0.6        0.         0.5
 0.3        0.5        1.1        0.3       ]"
